finding,auc,f1,n_positive
Medical material,0.8745210727969349,0.0,12
Arterial wall calcification,0.6484819734345351,0.0,31
Cardiomegaly,0.7231404958677686,0.358974358974359,22
Pericardial effusion,0.710562414266118,0.0,18
Coronary artery wall calcification,0.5555555555555555,0.34782608695652173,24
Hiatal hernia,0.21310240963855423,0.0,16
Lymphadenopathy,0.5223880597014925,0.0,32
Emphysema,0.49891891891891893,0.39603960396039606,25
Atelectasis,0.607645875251509,0.42,28
Lung nodule,0.2766949152542373,0.0,40
Lung opacity,0.5555028462998102,0.47692307692307695,31
Pulmonary fibrotic sequela,0.3705314009661836,0.14814814814814814,30
Pleural effusion,0.936607142857143,0.0,35
Mosaic attenuation pattern,0.7437888198757764,0.15384615384615385,7
Peribronchial thickening,0.6842105263157895,0.0,23
Consolidation,0.49548192771084343,0.0,16
Bronchiectasis,0.6573033707865169,0.0,10
Interlobular septal thickening,0.5804597701149425,0.0,12
