finding,auc,f1,n_positive
Medical material,0.7442528735632183,0.34782608695652173,12
Arterial wall calcification,0.7485768500948766,0.6206896551724138,31
Cardiomegaly,0.7668240850059032,0.5,22
Pericardial effusion,0.6872427983539096,0.33766233766233766,18
Coronary artery wall calcification,0.7811111111111111,0.5569620253164557,24
Hiatal hernia,0.4969879518072289,0.2702702702702703,16
Lymphadenopathy,0.6184701492537313,0.5714285714285714,32
Emphysema,0.7459459459459459,0.5,25
Atelectasis,0.7379275653923542,0.5517241379310345,28
Lung nodule,0.6029661016949153,0.5436893203883495,40
Lung opacity,0.5536053130929791,0.43956043956043955,31
Pulmonary fibrotic sequela,0.6318840579710144,0.4819277108433735,30
Pleural effusion,0.9290178571428572,0.7111111111111111,35
Mosaic attenuation pattern,0.7857142857142857,0.2033898305084746,7
Peribronchial thickening,0.7305491990846682,0.44155844155844154,23
Consolidation,0.7289156626506024,0.3611111111111111,16
Bronchiectasis,0.7089887640449438,0.3125,10
Interlobular septal thickening,0.6724137931034483,0.375,12
